iter	RMSE
0	0.3906666727
1	0.3747958783
2	0.3601486584
3	0.3461116495
4	0.3324364823
5	0.3198763095
6	0.3082687013
7	0.2975706748
8	0.2869433447
9	0.2771503831
10	0.2680505611
11	0.2590680662
12	0.250949776
13	0.2436160578
14	0.2363693286
15	0.2299063061
16	0.2235095733
17	0.2178149098
18	0.2118060699
19	0.2066042952
20	0.2015635754
21	0.1967603302
22	0.191733974
23	0.1874271541
24	0.1831580126
25	0.1797225182
26	0.1761121035
27	0.1728122276
28	0.1699487619
29	0.1668291232
30	0.1640305026
31	0.1613608961
32	0.1589333898
33	0.1567265794
34	0.154645721
35	0.1527039363
36	0.1506595314
37	0.1489389696
38	0.1474065218
39	0.1455153621
40	0.1437466835
41	0.1421956557
42	0.1407769225
43	0.1394787218
44	0.1382802542
45	0.1370864734
46	0.135858158
47	0.134498767
48	0.1333402934
49	0.1322600468
50	0.1313213471
51	0.1302858609
52	0.1293031909
53	0.1284070363
54	0.1277012113
55	0.1269172053
56	0.125892101
57	0.1252881425
58	0.1245352753
59	0.1238883218
60	0.1232009653
61	0.1225597637
62	0.1216803477
63	0.1211770882
64	0.120555916
65	0.1200452006
66	0.1193268493
67	0.1189111531
68	0.1183586426
69	0.1179276569
70	0.1174426423
71	0.1169436679
72	0.1165045453
73	0.1160699047
74	0.1156702012
75	0.1152481938
76	0.1149521545
77	0.1145323651
78	0.1140045741
79	0.1135314978
80	0.1130599683
81	0.1128678855
82	0.1124919076
83	0.1121002673
84	0.1118093688
85	0.1115042035
86	0.111256606
87	0.1108083097
88	0.1103425782
89	0.1101203521
90	0.1099213217
91	0.1096029335
92	0.1094015939
93	0.1091177694
94	0.1087908061
95	0.1085155018
96	0.1082335529
97	0.1080488583
98	0.1079122069
99	0.107674072
100	0.1073658598
101	0.1070970745
102	0.1070390322
103	0.1068318068
104	0.1065309546
105	0.1064695768
106	0.1064330622
107	0.1061619638
108	0.1058251281
109	0.1055956981
110	0.1053453545
111	0.1052553425
112	0.104981633
113	0.1047434367
114	0.10444646
115	0.1042050045
116	0.1039182758
117	0.1037343431
118	0.1035649716
119	0.1033441475
120	0.1031958127
121	0.1029326805
122	0.1027451602
123	0.1025776369
124	0.1023574091
125	0.1021490439
126	0.1020594142
127	0.1019927027
128	0.1017341774
129	0.1015319573
130	0.1013363314
131	0.1011642254
132	0.1009771185
133	0.1007711085
134	0.1007296935
135	0.1005170813
136	0.1003875913
137	0.1001341565
138	0.09987557333
139	0.09967116652
140	0.09943976557
141	0.0993842737
142	0.09915559502
143	0.09899961797
144	0.09877528472
145	0.09852198725
146	0.09836182094
147	0.09829241607
148	0.09808719798
149	0.09788105106
150	0.09763140271
151	0.09746257051
152	0.09735185736
153	0.09707303614
154	0.09695129372
155	0.09670216458
156	0.09664775909
157	0.09657056056
158	0.09634901203
159	0.09628944185
160	0.09612174621
161	0.09607981802
162	0.09580040098
163	0.09558391389
164	0.09542331606
165	0.09525301245
166	0.09506410626
167	0.09492675214
168	0.09476209363
169	0.09458145648
170	0.09455184818
171	0.09438848775
172	0.09434495083
173	0.09412452946
174	0.0939876579
175	0.09381690593
176	0.09377649472
177	0.09355875681
178	0.09340136394
179	0.0931787325
180	0.09300655931
181	0.09284724123
182	0.09275878552
183	0.09270284845
184	0.09266919658
185	0.09249704941
186	0.09231585459
187	0.09211749739
188	0.09197467838
189	0.09172631446
190	0.09169596683
191	0.09152085951
192	0.09131533519
193	0.09113550026
194	0.0910873437
195	0.09088311123
196	0.09068869912
197	0.09042537741
198	0.09028484881
199	0.0901031672
200	0.09002079817
201	0.08987435403
202	0.08984466284
203	0.08967448227
204	0.08948609854
205	0.08935954932
206	0.08920578675
207	0.0890990057
208	0.08897813587
209	0.08892407269
210	0.08875139413
211	0.08858519452
212	0.08850939784
213	0.08840220511
214	0.08826226874
215	0.08820917922
216	0.0881102334
217	0.08796168776
218	0.08779258505
219	0.08760224824
220	0.08751745123
221	0.08735062501
222	0.08722467177
223	0.08706474481
224	0.08692259646
225	0.08681920196
226	0.08674355793
227	0.08658495266
228	0.08644602922
229	0.08639755849
230	0.08627094126
231	0.0862065045
232	0.08603486166
233	0.08589698386
234	0.08575512823
235	0.08561867132
236	0.08544642289
237	0.08529249398
238	0.08526838411
239	0.08513234171
240	0.08503610466
241	0.08488617165
242	0.08477039823
243	0.08460177823
244	0.08446205847
245	0.08428940265
246	0.08424335518
247	0.08422534054
248	0.08413621967
249	0.08396559909
250	0.08384585898
251	0.08369934937
252	0.08356548737
253	0.08354609656
254	0.08343863707
255	0.08334182798
256	0.08320939216
257	0.08318798458
258	0.08309230261
259	0.08299264189
260	0.08286193576
261	0.08277021539
262	0.08265968647
263	0.08249360982
264	0.08236954586
265	0.08220873161
266	0.08208678394
267	0.08193558597
268	0.08179105523
269	0.08177336645
270	0.08169761388
271	0.08158679828
272	0.08149149306
273	0.08135185177
274	0.08125136039
275	0.08113992384
276	0.08102651083
277	0.08089602483
278	0.08065171086
279	0.08055288808
280	0.08053542903
281	0.08047070031
282	0.08036097778
283	0.08024963132
284	0.08015549443
285	0.0801354211
286	0.08004805789
287	0.08003211457
288	0.07988361609
289	0.07980679009
290	0.0797875513
291	0.07975200781
292	0.07961156471
293	0.07948377338
294	0.07936655272
295	0.07925568953
296	0.07918781113
297	0.07916403848
298	0.07913773296
299	0.07899068776
300	0.07886373123
301	0.07880900534
302	0.07877668435
303	0.07865163894
304	0.07854825622
305	0.07848564779
306	0.07839218497
307	0.07828393172
308	0.07820051567
309	0.07818796499
310	0.07811026693
